name;seq;start;end;diff
TIGR00392;2;1479497968239;1479497968704;465
TIGR00394;2;1479497968708;1479497969159;451
TIGR00395;2;1479497969163;1479497969579;416
TIGR00396;3;1479497969583;1479497970344;761
TIGR00398;4;1479497970346;1479497971674;1328
TIGR00399;2;1479497971678;1479497971925;247
TIGR00400;2;1479497971929;1479497972353;424
TIGR00401;3;1479497972357;1479497972969;612
TIGR00402;4;1479497972973;1479497973522;549
TIGR00406;2;1479497973527;1479497973949;422
TIGR00407;2;1479497973953;1479497974370;417
TIGR00408;2;1479497974372;1479497974790;418
TIGR00409;3;1479497974792;1479497975290;498
TIGR00410;2;1479497975294;1479497975722;428
TIGR00411;5;1479497975728;1479497976483;755
TIGR00412;2;1479497976486;1479497976845;359
TIGR00414;3;1479497976847;1479497977561;714
TIGR00416;3;1479497977565;1479497978251;686
TIGR00418;3;1479497978253;1479497979000;747
TIGR00419;2;1479497979004;1479497979422;418
TIGR00420;3;1479497979424;1479497980079;655
TIGR00422;2;1479497980081;1479497980590;509
TIGR00424;2;1479497980595;1479497980939;344
TIGR00425;3;1479497980941;1479497981515;574
TIGR00430;2;1479497981519;1479497981989;470
TIGR00431;3;1479497981993;1479497982546;553
TIGR00432;2;1479497982551;1479497982999;448
TIGR00435;2;1479497983003;1479497983404;401
TIGR00436;2;1479497983408;1479497983831;423
TIGR00437;3;1479497983833;1479497984997;1164
TIGR00439;2;1479497984999;1479497985331;332
TIGR00440;2;1479497985335;1479497985731;396
TIGR00441;2;1479497985735;1479497986099;364
TIGR00442;2;1479497986103;1479497986217;114
TIGR00443;2;1479497986221;1479497986634;413
TIGR00444;2;1479497986638;1479497987057;419
TIGR00445;4;1479497987061;1479497987950;889
TIGR00446;5;1479497987953;1479497989621;1668
TIGR00447;2;1479497989623;1479497989959;336
TIGR00449;2;1479497989963;1479497990411;448
TIGR00450;2;1479497990415;1479497990846;431
TIGR00453;2;1479497990848;1479497991228;380
TIGR00456;3;1479497991232;1479497991846;614
TIGR00457;3;1479497991850;1479497992852;1002
TIGR00458;3;1479497992854;1479497993726;872
TIGR00459;3;1479497993728;1479497994588;860
TIGR00460;3;1479497994590;1479497995149;559
TIGR00462;4;1479497995153;1479497996406;1253
TIGR00463;2;1479497996410;1479497996812;402
TIGR00464;2;1479497996817;1479497997295;478
TIGR00465;2;1479497997299;1479497997555;256
TIGR00466;2;1479497997560;1479497997932;372
TIGR00468;2;1479497997936;1479497998289;353
TIGR00469;3;1479497998292;1479497998705;413
TIGR00471;2;1479497998707;1479497999088;381
TIGR00472;3;1479497999090;1479498000069;979
TIGR00473;3;1479498000071;1479498000489;418
TIGR00475;2;1479498000491;1479498000893;402
TIGR00476;2;1479498000898;1479498001305;407
TIGR00478;3;1479498001309;1479498001772;463
TIGR00479;3;1479498001777;1479498002648;871
TIGR00482;2;1479498002650;1479498003079;429
TIGR00483;2;1479498003081;1479498003508;427
TIGR00484;3;1479498003512;1479498004127;615
TIGR00485;2;1479498004132;1479498004583;451
TIGR00486;2;1479498004587;1479498005017;430
TIGR00487;5;1479498005022;1479498007262;2240
TIGR00488;3;1479498007264;1479498007769;505
TIGR00490;3;1479498007773;1479498008417;644
TIGR00491;2;1479498008421;1479498008858;437
TIGR00492;3;1479498008862;1479498009352;490
TIGR00493;3;1479498009356;1479498009868;512
TIGR00495;2;1479498009870;1479498010263;393
TIGR00496;2;1479498010267;1479498010616;349
TIGR00497;3;1479498010618;1479498011456;838
TIGR00498;2;1479498011458;1479498011864;406
TIGR00499;3;1479498011868;1479498012845;977
TIGR00500;5;1479498012847;1479498014258;1411
TIGR00501;3;1479498014262;1479498014808;546
TIGR00502;2;1479498014812;1479498015264;452
TIGR00505;2;1479498015268;1479498015661;393
TIGR00507;2;1479498015663;1479498016002;339
TIGR00508;4;1479498016004;1479498017007;1003
TIGR00509;2;1479498017011;1479498017509;498
TIGR00514;2;1479498017513;1479498017847;334
TIGR00515;2;1479498017851;1479498018266;415
TIGR00517;3;1479498018268;1479498018608;340
TIGR00518;2;1479498018610;1479498018947;337
TIGR00519;2;1479498018949;1479498019387;438
TIGR00520;2;1479498019389;1479498019843;454
TIGR00521;2;1479498019845;1479498020249;404
TIGR00525;2;1479498020253;1479498020627;374
TIGR00526;2;1479498020631;1479498020980;349
TIGR00530;3;1479498020985;1479498021501;516
TIGR00537;2;1479498021505;1479498021871;366
TIGR00538;4;1479498021875;1479498022996;1121
TIGR00539;3;1479498023000;1479498023837;837
TIGR00543;3;1479498023841;1479498024500;659
TIGR00544;3;1479498024502;1479498025007;505
TIGR00549;3;1479498025011;1479498025727;716
TIGR00550;3;1479498025729;1479498026389;660
TIGR00551;2;1479498026393;1479498026813;420
TIGR00553;2;1479498026817;1479498027265;448
TIGR00560;3;1479498027267;1479498027657;390
TIGR00561;2;1479498027660;1479498028011;351
TIGR00563;3;1479498028013;1479498028506;493
TIGR00565;2;1479498028508;1479498028974;466
TIGR00566;4;1479498028976;1479498029881;905
TIGR00571;3;1479498029883;1479498030393;510
TIGR00573;3;1479498030395;1479498031003;608
TIGR00574;2;1479498031007;1479498031466;459
TIGR00575;3;1479498031468;1479498032400;932
TIGR00576;3;1479498032402;1479498032859;457
TIGR00580;3;1479498032861;1479498034153;1292
TIGR00586;2;1479498034157;1479498034500;343
TIGR00587;3;1479498034502;1479498035195;693
TIGR00588;2;1479498035197;1479498035581;384
TIGR00589;3;1479498035586;1479498036049;463
TIGR00593;2;1479498036051;1479498036572;521
TIGR00594;3;1479498036576;1479498037899;1323
TIGR00595;3;1479498037901;1479498038679;778
TIGR00604;3;1479498038686;1479498039371;685
TIGR00606;2;1479498039374;1479498039738;364
TIGR00608;2;1479498039742;1479498040128;386
TIGR00609;3;1479498040132;1479498041241;1109
TIGR00611;2;1479498041245;1479498041694;449
TIGR00612;2;1479498041698;1479498042189;491
TIGR00613;2;1479498042193;1479498042573;380
TIGR00614;3;1479498042578;1479498043684;1106
TIGR00615;3;1479498043688;1479498044136;448
TIGR00616;2;1479498044138;1479498044514;376
TIGR00618;3;1479498044518;1479498045852;1334
TIGR00619;2;1479498045856;1479498046303;447
TIGR00621;4;1479498046307;1479498046848;541
TIGR00628;4;1479498046852;1479498047348;496
TIGR00630;3;1479498047350;1479498048062;712
TIGR00631;3;1479498048064;1479498048655;591
TIGR00632;2;1479498048657;1479498048989;332
TIGR00633;3;1479498048991;1479498049515;524
TIGR00634;2;1479498049519;1479498049943;424
TIGR00635;4;1479498049947;1479498050804;857
TIGR00641;3;1479498050807;1479498051570;763
TIGR00642;2;1479498051572;1479498052002;430
TIGR00643;2;1479498052006;1479498052454;448
TIGR00644;2;1479498052458;1479498052918;460
TIGR00646;2;1479498052922;1479498053388;466
TIGR00647;2;1479498053390;1479498053717;327
TIGR00648;2;1479498053721;1479498054101;380
TIGR00649;2;1479498054103;1479498054412;309
TIGR00651;5;1479498054416;1479498055884;1468
TIGR00655;2;1479498055886;1479498056276;390
TIGR00656;2;1479498056280;1479498056701;421
TIGR00657;2;1479498056705;1479498057166;461
TIGR00658;2;1479498057168;1479498057602;434
TIGR00661;2;1479498057606;1479498058067;461
TIGR00663;2;1479498058071;1479498058520;449
TIGR00665;3;1479498058524;1479498059356;832
TIGR00669;2;1479498059358;1479498059749;391
TIGR00670;2;1479498059751;1479498060125;374
TIGR00671;2;1479498060129;1479498060465;336
TIGR00674;2;1479498060469;1479498060845;376
TIGR00675;4;1479498060849;1479498062106;1257
TIGR00676;2;1479498062108;1479498062482;374
TIGR00677;2;1479498062486;1479498062879;393
TIGR00678;2;1479498062883;1479498063252;369
TIGR00679;2;1479498063256;1479498063682;426
TIGR00682;2;1479498063684;1479498064049;365
TIGR00683;2;1479498064051;1479498064402;351
TIGR00687;3;1479498064406;1479498065010;604
TIGR00689;3;1479498065012;1479498065428;416
TIGR00690;2;1479498065432;1479498065607;175
TIGR00691;3;1479498065611;1479498066873;1262
TIGR00692;2;1479498066875;1479498067291;416
TIGR00693;2;1479498067295;1479498067707;412
TIGR00695;2;1479498067709;1479498068151;442
TIGR00696;2;1479498068153;1479498068531;378
TIGR00698;2;1479498068535;1479498068968;433
TIGR00699;2;1479498068970;1479498069409;439
TIGR00700;3;1479498069413;1479498070443;1030
TIGR00704;2;1479498070446;1479498070957;511
TIGR00705;2;1479498070961;1479498071323;362
TIGR00707;3;1479498071327;1479498072386;1059
TIGR00708;2;1479498072390;1479498072747;357
TIGR00709;4;1479498072749;1479498073827;1078
TIGR00711;2;1479498073829;1479498074271;442
TIGR00713;3;1479498074275;1479498075369;1094
TIGR00714;2;1479498075373;1479498075707;334
TIGR00717;2;1479498075709;1479498076089;380
TIGR00720;2;1479498076093;1479498076523;430
TIGR00722;2;1479498076527;1479498076931;404
TIGR00723;2;1479498076935;1479498077157;222
TIGR00726;2;1479498077161;1479498077575;414
TIGR00729;3;1479498077577;1479498078057;480
TIGR00730;2;1479498078062;1479498078450;388
TIGR00732;2;1479498078452;1479498078895;443
TIGR00734;2;1479498078899;1479498079336;437
TIGR00735;3;1479498079338;1479498079860;522
TIGR00737;3;1479498079864;1479498080341;477
TIGR00738;3;1479498080345;1479498080780;435
TIGR00739;2;1479498080782;1479498081102;320
TIGR00740;3;1479498081105;1479498081593;488
TIGR00741;3;1479498081595;1479498082039;444
TIGR00742;2;1479498082041;1479498082442;401
TIGR00744;3;1479498082444;1479498083167;723
TIGR00745;2;1479498083169;1479498083601;432
TIGR00746;2;1479498083603;1479498084018;415
TIGR00747;3;1479498084020;1479498084799;779
TIGR00748;3;1479498084801;1479498085580;779
TIGR00750;2;1479498085582;1479498086019;437
TIGR00753;3;1479498086021;1479498086603;582
TIGR00755;2;1479498086607;1479498086998;391
TIGR00757;2;1479498087002;1479498087419;417
TIGR00758;2;1479498087423;1479498087819;396
TIGR00759;2;1479498087824;1479498088267;443
TIGR00760;2;1479498088271;1479498088634;363
TIGR00761;2;1479498088636;1479498088992;356
TIGR00762;3;1479498088996;1479498089671;675
TIGR00763;4;1479498089674;1479498090561;887
TIGR00764;4;1479498090565;1479498091703;1138
TIGR00765;2;1479498091705;1479498092097;392
TIGR00766;2;1479498092101;1479498092489;388
TIGR00767;3;1479498092491;1479498093086;595
TIGR00770;2;1479498093090;1479498093508;418
TIGR00775;3;1479498093510;1479498094378;868
TIGR00785;3;1479498094380;1479498095253;873
TIGR00787;3;1479498095257;1479498095765;508
TIGR00791;2;1479498095769;1479498095991;222
TIGR00792;3;1479498095995;1479498096793;798
TIGR00796;2;1479498096797;1479498097111;314
TIGR00797;3;1479498097115;1479498098023;908
TIGR00801;3;1479498098025;1479498098729;704
TIGR00813;3;1479498098731;1479498099313;582
TIGR00815;2;1479498099317;1479498099743;426
TIGR00819;2;1479498099748;1479498100188;440
TIGR00830;2;1479498100192;1479498100549;357
TIGR00831;2;1479498100551;1479498100979;428
TIGR00833;2;1479498100984;1479498101372;388
TIGR00835;3;1479498101377;1479498102274;897
TIGR00836;3;1479498102276;1479498103304;1028
TIGR00838;2;1479498103308;1479498103754;446
TIGR00839;3;1479498103757;1479498104399;642
TIGR00840;2;1479498104403;1479498104877;474
TIGR00852;3;1479498104881;1479498105780;899
TIGR00855;2;1479498105785;1479498106067;282
TIGR00857;3;1479498106069;1479498106681;612
TIGR00858;4;1479498106685;1479498107814;1129
TIGR00868;2;1479498107818;1479498108214;396
TIGR00872;2;1479498108219;1479498108541;322
TIGR00873;2;1479498108545;1479498108898;353
TIGR00874;3;1479498108902;1479498109315;413
TIGR00875;2;1479498109317;1479498109708;391
TIGR00877;2;1479498109710;1479498110139;429
TIGR00878;2;1479498110143;1479498110574;431
TIGR00879;3;1479498110576;1479498111382;806
TIGR00880;2;1479498111384;1479498111717;333
TIGR00881;2;1479498111719;1479498112187;468
TIGR00883;3;1479498112191;1479498113051;860
TIGR00884;2;1479498113053;1479498113390;337
TIGR00886;2;1479498113394;1479498113776;382
TIGR00887;2;1479498113780;1479498114207;427
TIGR00888;4;1479498114212;1479498115093;881
TIGR00889;2;1479498115095;1479498115482;387
TIGR00890;2;1479498115486;1479498115913;427
TIGR00891;3;1479498115915;1479498116717;802
TIGR00893;3;1479498116720;1479498117611;891
TIGR00895;2;1479498117615;1479498118074;459
TIGR00898;3;1479498118078;1479498118865;787
TIGR00900;3;1479498118867;1479498119593;726
TIGR00904;3;1479498119597;1479498120301;704
TIGR00905;2;1479498120303;1479498120738;435
TIGR00908;2;1479498120740;1479498121149;409
TIGR00909;2;1479498121154;1479498121576;422
TIGR00910;3;1479498121580;1479498122238;658
TIGR00911;2;1479498122242;1479498122594;352
TIGR00913;2;1479498122598;1479498122998;400
TIGR00914;2;1479498123002;1479498123483;481
TIGR00915;3;1479498123487;1479498124845;1358
TIGR00916;4;1479498124849;1479498125939;1090
TIGR00921;4;1479498125943;1479498127341;1398
TIGR00922;3;1479498127343;1479498127782;439
TIGR00924;2;1479498127786;1479498128251;465
TIGR00928;3;1479498128255;1479498129056;801
TIGR00929;2;1479498129058;1479498129487;429
TIGR00933;4;1479498129491;1479498129606;115
TIGR00934;2;1479498129610;1479498129954;344
TIGR00945;2;1479498129958;1479498130313;355
TIGR00946;2;1479498130317;1479498130745;428
TIGR00949;2;1479498130749;1479498131115;366
TIGR00950;3;1479498131119;1479498131783;664
TIGR00954;4;1479498131785;1479498133036;1251
TIGR00955;7;1479498133038;1479498134995;1957
TIGR00956;5;1479498134997;1479498136419;1422
TIGR00957;4;1479498136421;1479498137689;1268
TIGR00958;3;1479498137693;1479498138675;982
TIGR00959;3;1479498138677;1479498139417;740
TIGR00962;2;1479498139419;1479498139822;403
TIGR00963;3;1479498139824;1479498140786;962
TIGR00964;4;1479498140790;1479498141272;482
TIGR00966;3;1479498141274;1479498141786;512
TIGR00967;2;1479498141790;1479498142222;432
TIGR00968;5;1479498142224;1479498144113;1889
TIGR00969;5;1479498144115;1479498145424;1309
TIGR00970;3;1479498145429;1479498146073;644
TIGR00972;7;1479498146078;1479498149237;3159
TIGR00973;3;1479498149239;1479498149826;587
TIGR00974;3;1479498149829;1479498150333;504
TIGR00977;2;1479498150337;1479498150845;508
TIGR00978;2;1479498150849;1479498151205;356
TIGR00979;3;1479498151210;1479498151852;642
TIGR00981;2;1479498151854;1479498152062;208
TIGR00987;2;1479498152066;1479498152402;336
TIGR00988;2;1479498152404;1479498152727;323
TIGR00996;2;1479498152729;1479498153087;358
TIGR00998;4;1479498153091;1479498153957;866
TIGR00999;4;1479498153959;1479498155130;1171
TIGR01001;2;1479498155132;1479498155543;411
TIGR01003;2;1479498155545;1479498155858;313
TIGR01005;2;1479498155862;1479498156272;410
TIGR01006;2;1479498156276;1479498156606;330
TIGR01007;3;1479498156610;1479498157350;740
TIGR01008;3;1479498157352;1479498157845;493
TIGR01009;3;1479498157849;1479498158345;496
TIGR01011;2;1479498158349;1479498158596;247
TIGR01016;2;1479498158601;1479498158985;384
TIGR01017;3;1479498158989;1479498159418;429
TIGR01024;3;1479498159420;1479498159827;407
TIGR01025;2;1479498159831;1479498160095;264
TIGR01026;4;1479498160097;1479498161065;968
TIGR01027;2;1479498161067;1479498161178;111
TIGR01032;2;1479498161182;1479498161372;190
TIGR01033;2;1479498161376;1479498161753;377
TIGR01034;2;1479498161757;1479498162171;414
TIGR01036;2;1479498162175;1479498162521;346
TIGR01037;2;1479498162525;1479498162985;460
TIGR01038;2;1479498162989;1479498163332;343
TIGR01039;5;1479498163334;1479498165172;1838
TIGR01040;3;1479498165176;1479498165773;597
TIGR01041;3;1479498165775;1479498166373;598
TIGR01042;3;1479498166375;1479498166972;597
TIGR01043;4;1479498166976;1479498167941;965
TIGR01044;2;1479498167945;1479498168278;333
TIGR01048;3;1479498168280;1479498169041;761
TIGR01050;2;1479498169045;1479498169311;266
TIGR01051;3;1479498169313;1479498170337;1024
TIGR01052;2;1479498170339;1479498170751;412
TIGR01054;3;1479498170753;1479498171780;1027
TIGR01055;2;1479498171782;1479498172271;489
TIGR01056;3;1479498172275;1479498173348;1073
TIGR01057;3;1479498173353;1479498174412;1059
TIGR01058;2;1479498174416;1479498174900;484
TIGR01059;2;1479498174904;1479498175417;513
TIGR01060;2;1479498175421;1479498175800;379
TIGR01061;3;1479498175804;1479498176898;1094
TIGR01062;3;1479498176900;1479498177986;1086
TIGR01063;3;1479498177990;1479498178976;986
TIGR01064;3;1479498178978;1479498179588;610
TIGR01065;2;1479498179590;1479498179950;360
TIGR01066;3;1479498179951;1479498180385;434
TIGR01067;2;1479498180387;1479498180592;205
TIGR01068;3;1479498180596;1479498181033;437
TIGR01069;4;1479498181035;1479498182714;1679
TIGR01070;4;1479498182716;1479498183796;1080
TIGR01071;2;1479498183798;1479498184146;348
TIGR01072;2;1479498184148;1479498184585;437
TIGR01073;3;1479498184589;1479498185525;936
TIGR01074;3;1479498185527;1479498186518;991
TIGR01075;3;1479498186522;1479498187495;973
TIGR01076;3;1479498187499;1479498187991;492
TIGR01077;3;1479498187995;1479498188459;464
TIGR01081;2;1479498188463;1479498188886;423
TIGR01082;3;1479498188890;1479498189425;535
TIGR01083;2;1479498189430;1479498189792;362
TIGR01084;2;1479498189796;1479498190229;433
TIGR01085;2;1479498190233;1479498190685;452
TIGR01086;3;1479498190689;1479498191215;526
TIGR01087;4;1479498191219;1479498192354;1135
TIGR01088;2;1479498192356;1479498192713;357
TIGR01090;2;1479498192715;1479498193111;396
TIGR01091;3;1479498193113;1479498193626;513
TIGR01092;2;1479498193628;1479498194048;420
TIGR01093;2;1479498194050;1479498194395;345
TIGR01096;3;1479498194399;1479498194940;541
TIGR01097;2;1479498194944;1479498195309;365
TIGR01099;2;1479498195313;1479498195757;444
TIGR01105;2;1479498195761;1479498196225;464
TIGR01108;3;1479498196230;1479498196774;544
TIGR01109;2;1479498196776;1479498197130;354
TIGR01116;3;1479498197134;1479498198686;1552
TIGR01117;3;1479498198688;1479498199122;434
TIGR01118;3;1479498199124;1479498199527;403
TIGR01119;3;1479498199529;1479498199954;425
TIGR01120;3;1479498199958;1479498200384;426
TIGR01121;3;1479498200388;1479498200888;500
TIGR01122;3;1479498200892;1479498201442;550
TIGR01123;3;1479498201447;1479498201973;526
TIGR01124;2;1479498201977;1479498202397;420
TIGR01125;3;1479498202401;1479498203289;888
TIGR01126;3;1479498203293;1479498203729;436
TIGR01127;2;1479498203733;1479498204104;371
TIGR01128;2;1479498204108;1479498204505;397
TIGR01129;5;1479498204509;1479498205934;1425
TIGR01130;3;1479498205936;1479498206367;431
TIGR01131;2;1479498206369;1479498206767;398
TIGR01132;2;1479498206771;1479498207219;448
TIGR01133;3;1479498207224;1479498208050;826
TIGR01134;2;1479498208054;1479498208499;445
TIGR01135;2;1479498208503;1479498208971;468
TIGR01136;2;1479498208975;1479498209361;386
TIGR01137;2;1479498209365;1479498209738;373
TIGR01138;2;1479498209742;1479498210163;421
