name;seq;start;end;diff
TIGR00411;5;1479499725728;1479499802148;76420;<
<
<
TIGR00412;2;1479499802152;1479499802222;70;
TIGR00414;3;1479499802225;1479499817544;15319;<
TIGR00416;3;1479499817548;1479499843567;26019;<
TIGR00418;3;1479499843571;1479499867033;23462;4.250653131462968
TIGR00419;2;1479499867036;1479499867148;112;
TIGR00420;3;1479499867152;1479499887422;20270;<
TIGR00422;2;1479499887426;1479499887581;155;
TIGR00424;2;1479499887584;1479499887648;64;
TIGR00425;3;1479499887652;1479499902656;15004;<
TIGR00430;2;1479499902660;1479499902785;125;
TIGR00431;3;1479499902788;1479499918709;15921;<
TIGR00432;2;1479499918713;1479499918833;120;
TIGR00435;2;1479499918837;1479499918953;116;
TIGR00436;2;1479499918957;1479499919068;111;
TIGR00437;3;1479499919072;1479499951793;32721;<
TIGR00439;2;1479499951796;1479499951900;104;
TIGR00440;2;1479499951904;1479499952020;116;
TIGR00441;2;1479499952024;1479499952115;91;
TIGR00442;2;1479499952119;1479499952276;157;
TIGR00443;2;1479499952280;1479499952419;139;
TIGR00444;2;1479499952423;1479499952533;110;
TIGR00445;4;1479499952536;1479500022430;69894;<
<
TIGR00446;5;1479500022434;1479500238730;216296;<
5.713271454866117
2.067432430274494
TIGR00447;2;1479500238734;1479500238831;97;
TIGR00449;2;1479500238835;1479500238956;121;
TIGR00450;2;1479500238960;1479500239088;128;
TIGR00453;2;1479500239092;1479500239211;119;
TIGR00456;3;1479500239215;1479500260152;20937;<
TIGR00457;3;1479500260156;1479500288340;28184;<
TIGR00458;3;1479500288344;1479500319595;31251;<
TIGR00459;3;1479500319598;1479500347563;27965;<
TIGR00460;3;1479500347567;1479500371171;23604;<
TIGR00462;4;1479500371175;1479500445008;73833;<
<
TIGR00463;2;1479500445011;1479500445125;114;
TIGR00464;2;1479500445128;1479500445273;145;
TIGR00465;2;1479500445277;1479500445350;73;
TIGR00466;2;1479500445354;1479500445471;117;
TIGR00468;2;1479500445474;1479500445564;90;
TIGR00469;3;1479500445567;1479500455530;9963;<
TIGR00471;2;1479500455534;1479500455657;123;
TIGR00472;3;1479500455660;1479500476128;20468;<
TIGR00473;3;1479500476132;1479500484107;7975;<
TIGR00475;2;1479500484110;1479500484254;144;
TIGR00476;2;1479500484259;1479500484382;123;
TIGR00478;3;1479500484386;1479500493345;8959;<
TIGR00479;3;1479500493349;1479500514310;20961;<
TIGR00482;2;1479500514314;1479500514425;111;
TIGR00483;2;1479500514428;1479500514550;122;
TIGR00484;3;1479500514554;1479500529181;14627;<
TIGR00485;2;1479500529184;1479500529341;157;
TIGR00486;2;1479500529345;1479500529458;113;
TIGR00487;5;1479500529462;1479500753397;223935;<
<
<
TIGR00488;3;1479500753401;1479500771326;17925;<
TIGR00490;3;1479500771329;1479500788196;16867;<
TIGR00491;2;1479500788200;1479500788332;132;
TIGR00492;3;1479500788335;1479500805592;17257;<
TIGR00493;3;1479500805596;1479500818843;13247;<
TIGR00495;2;1479500818846;1479500818956;110;
TIGR00496;2;1479500818960;1479500819052;92;
